BL,43,6805000,7091280,"Dominan merupakan pusat perniagaan, pinggir jalan penghubung ke jalan utama. Jalan akses berupa jalan aspal  dengan lebar 8 meter.Blok dalam zona ini jl. Pemuda.",0106000000010000000103000000010000000B00000039FC1853112A59407CB08F4AC351E9BF5BD174E20F2A59409298EDB67B4EE9BFF3202A820D2A5940996E828B6C4AE9BFDB5D0146102A5940DBD8739A5E4AE9BF6FD578D2122A594059DCABBB1B4AE9BFC69C7FB1132A59404DE25C40214CE9BF0699E589142A59401059C20FD54DE9BF0E9659DD152A59403A4D522B3450E9BFA8BBBD6E172A5940C91D8FBFAA51E9BFCE5FB606142A59408E0481A24253E9BF39FC1853112A59407CB08F4AC351E9BF,12,2,PASIR PANDAN AIR,,,
BH,46,5095000,5123440,"Dominan merupakan pemukiman dan pertokoan pinggir jalan penghubung, jalan akses berupa jalan aspal  dengan lebar 4,5-6 meter.Blok dalam zona ini  jl. Dt. perpatih nan sabatang dan jl. lettu jamhur.",01060000000100000001030000000100000014000000834E85B7142A5940A6A10D4CAF53E9BFCE5FB606142A59408E0481A24253E9BFA8BBBD6E172A5940C91D8FBFAA51E9BF8E11F5A91C2A59408F75DB529154E9BF5316401E1F2A5940553AA4188C55E9BFE8631DC71E2A5940DE4E36900956E9BF9F88E502252A5940FCE2294D1959E9BFDADC1397272A5940BE3EA3008E57E9BFB66D64502C2A5940E3CB5630EE59E9BF6294E0C12A2A59409E6C5641475BE9BFD704418B302A59404C31DC0B075EE9BF9AEC29EF292A59402024BFB1E360E9BFAE367F1A252A5940CE2238662D62E9BF31432621242A59402CAA6BFBAA61E9BFFEBE1B22222A5940230A8981DA61E9BF3E916033212A5940763A59D28960E9BF61E51BFD1F2A59404B65D555FB5EE9BF4B3076F01B2A59403CC8DD78FE5FE9BF206711F7172A59406EC9A9E14559E9BF834E85B7142A5940A6A10D4CAF53E9BF,12,2,PASIR PANDAN AIR,,,
BK,52,2925000,2961126.71333333,"Dominan merupakan pemukiman penduduk pinggir jalan penghubung, jalan akses berupa jalan aspal  dengan lebar 4,5 meter.Blok dalam zona ini jl. Lettu jamhur.",0106000000010000000103000000010000000A0000003E916033212A5940763A59D28960E9BFFEBE1B22222A5940BB0A8981DA61E9BF06880102242A59404C980B4F7F64E9BF570A703F272A59405BCF5AF56067E9BF3E2127FE1E2A594074A247665A6AE9BFACEE7FC91A2A5940FFB728F8A567E9BF2EB6FCEF1E2A5940D858EA4E6166E9BF4B3076F01B2A59403CC8DD78FE5FE9BF61E51BFD1F2A59404B65D555FB5EE9BF3E916033212A5940763A59D28960E9BF,12,2,PASIR PANDAN AIR,,,
BI,59,1862000,1904152.4,"Dominan merupakan pemukiman dan pertokoan pinggir jalan penghubung, jalan akses berupa jalan aspal  dengan lebar 6 meter. Blok dalam zona ini jl. Dt. perpatih nan sabatang.",010600000001000000010300000001000000080000006FF56C7A392A59407F2BA7AA8C62E9BFDF07BC873A2A59408E77B2AD2A63E9BFD02F87643D2A59408F00851C4163E9BFCCA1CB49442A59406F2D198F4F66E9BF6FA5BEB6412A5940AEC6E3DD3169E9BFA4069BAD382A5940E33C839D6968E9BFB40812C3312A59403A5788326B65E9BF6FF56C7A392A59407F2BA7AA8C62E9BF,12,2,PASIR PANDAN AIR,,,
BF,61,1573000,1596634.83333333,"Dominan merupakan pemukiman penduduk, jalan akses berupa jalan coran  dengan lebar 2,5 meter.. Blok dalam zona ini jl. Lingkungan RW.IV-RT.02 atau belakang jl. Dt. Perpatih nan sabatang.",0106000000010000000103000000010000000A00000006880102242A5940B4970B4F7F64E9BFFEBE1B22222A5940230A8981DA61E9BFCB2663F6222A59404D2CE9C3C661E9BF31432621242A59402CAA6BFBAA61E9BFAE367F1A252A5940CE2238662D62E9BF9AEC29EF292A59402024BFB1E360E9BFC47EE5712D2A5940B703EFD32363E9BFB40812C3312A59403A5788326B65E9BF570A703F272A59405BCF5AF56067E9BF06880102242A5940B4970B4F7F64E9BF,12,2,PASIR PANDAN AIR,,,
BC,66,916000,879997.166666667,"Dominan merupakan sawah, jalan akses berupa jalan tanah dengan lebar 1 meter. Blok dalam zona ini jl. Prof. Dr. moh yamin SH dalam dan sawah lingk jl. Makmur.",01060000000100000001030000000100000009000000A0D89D204C2A59403EA9B8DB1646E9BF1FC180B8532A5940C5DB09060F45E9BF29C5358C542A5940411F98CE5244E9BF53EE390B5C2A5940098077F98F43E9BF3E7915435D2A594092EA34880E45E9BFFCD80110602A5940378E5955734AE9BF5A2C04ED572A59409A7FC7BE9749E9BF9BD9B8F14F2A59402CA640670B4CE9BFA0D89D204C2A59403EA9B8DB1646E9BF,12,2,PASIR PANDAN AIR,,,
BO,61,1573000,1624000,"Dominan merupakan pemukiman padat penduduk, jalan akses berupa jalan coran dan aspal. Blok dalam zona ini jl. Lingkungan RW.IV-RT.01, jl. berok, jl. swadaya dan jl. makmur.",01060000000100000001030000000100000019000000C60749C1322A59408095046B4748E9BF8BB090CE362A594011532A64EE47E9BF8927D95C3D2A59409A4253025647E9BF5685BE633F2A5940BD6FA206A649E9BFE875703C3F2A5940ED58559F784CE9BF62F7C9723D2A59405A5463072D51E9BF2BB36D1E3D2A5940625DD0928556E9BF74A0EB843C2A594075328F671358E9BFBCA385353C2A59404AC8D609D759E9BFF0ACF9F93B2A59406CD8D9452C5BE9BF4E8126E33A2A59402F419ECDC75CE9BF8AC83837362A594008EFA005F05EE9BF4F50853B322A5940C00D1A24EF5FE9BFD704418B302A59404C31DC0B075EE9BF6294E0C12A2A59409E6C5641475BE9BFB66D64502C2A5940E3CB5630EE59E9BFDADC1397272A5940253EA3008E57E9BF15D55A26292A5940E85A80600D55E9BF3CBC79B5292A5940B0D04B59DF52E9BF454F2D772A2A59403E3A23C85050E9BFC7FD8D632B2A59400FD0EFA9544EE9BF49E01CA72C2A5940B7ACF787134CE9BF872CF4862D2A5940C5E12054B949E9BFF3759A552D2A594025DF7BABCB48E9BFC60749C1322A59408095046B4748E9BF,12,2,PASIR PANDAN AIR,,,
BE,56,2352000,2360000,"Dominan merupakan pemukiman penduduk, jalan akses berupa jalan coran dan aspal  dengan lebar 1,5-2,5 meter.Blok dalam zona ini jl. Makmur, jl. berok dan jl. pemuda belakang.",01060000000100000001030000000100000015000000C69C7FB1132A59404DE25C40214CE9BF8D24D4CB152A594050AD3CFBF34BE9BF162A30A31B2A59401284EAB8734BE9BFDE8A3993222A594070379C0F004BE9BF0717648A272A5940CBDEF42A1F4BE9BF2B3517EC2B2A5940B46209AAA24BE9BF49E01CA72C2A5940B7ACF787134CE9BFC7FD8D632B2A59400FD0EFA9544EE9BF454F2D772A2A59403E3A23C85050E9BF3CBC79B5292A5940B0D04B59DF52E9BF15D55A26292A5940E85A80600D55E9BFDADC1397272A5940253EA3008E57E9BF9F88E502252A5940FCE2294D1959E9BFE8631DC71E2A5940DE4E36900956E9BF5316401E1F2A5940553AA4188C55E9BF8E11F5A91C2A5940F774DB529154E9BFA8BBBD6E172A5940C91D8FBFAA51E9BF0E9659DD152A5940A34C522B3450E9BF78F9C090142A59403DE13A53E14DE9BF0699E589142A59407958C20FD54DE9BFC69C7FB1132A59404DE25C40214CE9BF,12,2,PASIR PANDAN AIR,,,
BG,66,916000,960500,"Dominan merupakan sawah dan pemukiman, jalan akses berupa jalan coran dan jalan tanah dengan lebar 1-2,5 meter. Blok dalam zona ini jl. Makmur dalam dan jl. gang swadaya.",010600000001000000010300000001000000140000002BB36D1E3D2A5940625DD0928556E9BFB40B2D62412A59406BD8CC21D356E9BF25C36293412A5940EBA8F83EB053E9BF6DBC1F85432A594057D777460350E9BFEBAA842C452A594063A380C0714EE9BF33957C354B2A5940E61AB9E9C64CE9BF9BD9B8F14F2A59402CA640670B4CE9BF66F7EE9E4D2A594089DA0ACDB45CE9BFCCA1CB49442A59406F2D198F4F66E9BFD02F87643D2A5940F7FF841C4163E9BFDF07BC873A2A59408E77B2AD2A63E9BF6FF56C7A392A59407F2BA7AA8C62E9BF4F50853B322A5940C00D1A24EF5FE9BF6FEA9E91352A5940FDD52674195FE9BF8AC83837362A594008EFA005F05EE9BF4E8126E33A2A59402F419ECDC75CE9BFF0ACF9F93B2A59406CD8D9452C5BE9BFBCA385353C2A59404AC8D609D759E9BF74A0EB843C2A594075328F671358E9BF2BB36D1E3D2A5940625DD0928556E9BF,12,2,PASIR PANDAN AIR,,,
BA,65,1032000,984500,"Dominan merupakan pemukiman penduduk, jalan akses berupa jalan coran dan aspal  dengan lebar 2-3 meter, Blok dalam zona ini jl. SD 09 pandan unjung dan jl. Prof. Dr. moh yamin SH.",0106000000010000000103000000010000000C000000E09D1EBC642A5940A99B049B4144E9BFD20B47A8712A5940C182583BDF42E9BFADCADB43732A5940AF5B9789C442E9BFA55B122F762A5940795DDFEAF641E9BFAB72DF88802A5940266D00B93D41E9BF510DD6737F2A5940C29CD6BA6D47E9BF123298BC7C2A5940BA135ABA5D54E9BF1A542D75702A594055B6DF7D0D55E9BFE4AA916E6A2A5940C4BA8E811853E9BF9CCC333B6A2A594060FF23B0A54BE9BFE2C438DB662A59409EC2F5C2404BE9BFE09D1EBC642A5940A99B049B4144E9BF,12,2,PASIR PANDAN AIR,,,
